P2 ratio,P1 ratio,0.5um,1um,time (iso)
16.00,2.97,993.25,184.29,2015-08-06T21:15:24.753000
16.08,2.16,997.84,134.09,2015-08-06T21:16:27.471000
15.47,2.66,959.89,165.08,2015-08-06T21:17:29.325000
14.73,2.40,914.42,148.82,2015-08-06T21:18:32.302000
19.97,1.22,1239.25,75.84,2015-08-06T21:19:35.659000
19.27,3.21,1195.90,198.92,2015-08-06T21:20:37.509000
15.01,2.87,931.80,178.21,2015-08-06T21:21:39.204000
21.42,4.43,1329.51,275.15,2015-08-06T21:22:42.675000
15.48,3.42,960.49,211.96,2015-08-06T21:23:45.451000
14.96,1.37,928.45,85.01,2015-08-06T21:24:47.477000
14.95,2.23,927.64,138.63,2015-08-06T21:25:50.244000
16.45,3.40,1020.85,210.86,2015-08-06T21:26:53.184000
14.81,2.00,919.05,124.18,2015-08-06T21:27:55.103000
16.44,2.02,1020.35,125.16,2015-08-06T21:28:57.826000
18.33,1.48,1137.84,91.56,2015-08-06T21:30:01.040000
19.21,2.68,1192.10,166.38,2015-08-06T21:31:02.755000
16.46,2.48,1021.79,153.84,2015-08-06T21:32:04.887000
15.47,3.25,960.05,202.01,2015-08-06T21:33:07.078000
17.96,2.54,1114.53,157.76,2015-08-06T21:34:10.493000
18.27,2.71,1133.84,168.10,2015-08-06T21:35:12.539000
16.35,2.92,1014.55,180.99,2015-08-06T21:36:14.311000
19.01,4.15,1180.02,257.48,2015-08-06T21:37:17.300000
18.19,2.19,1129.15,135.85,2015-08-06T21:38:19.859000
16.87,3.94,1047.13,244.33,2015-08-06T21:39:21.602000
17.53,4.55,1087.64,282.31,2015-08-06T21:40:24.013000
18.06,2.86,1120.67,177.36,2015-08-06T21:41:26.527000
17.94,3.83,1113.07,237.84,2015-08-06T21:42:28.815000
21.43,3.90,1329.97,242.07,2015-08-06T21:43:31.488000
18.98,6.10,1177.76,378.47,2015-08-06T21:44:33.838000
22.28,6.62,1382.73,411.10,2015-08-06T21:45:36
23.22,6.95,1440.80,431.61,2015-08-06T21:46:38.181000
21.38,5.30,1326.79,328.93,2015-08-06T21:47:40.121000
17.13,4.60,1063.20,285.26,2015-08-06T21:48:42.606000
20.19,4.29,1253.24,266.43,2015-08-06T21:49:45.342000
18.71,2.09,1161.06,129.84,2015-08-06T21:50:48.453000
19.59,4.66,1215.70,289.34,2015-08-06T21:51:51.883000
19.32,4.90,1199.07,304.06,2015-08-06T21:52:55.253000
19.88,3.94,1233.59,244.68,2015-08-06T21:53:57.345000
20.34,5.03,1262.33,312.25,2015-08-06T21:55:00.297000
18.84,3.79,1169.33,235.15,2015-08-06T21:56:02.647000
19.22,5.40,1192.95,335.02,2015-08-06T21:57:05.271000
20.42,5.29,1267.23,328.21,2015-08-06T21:58:06.965000
16.83,4.26,1044.37,264.56,2015-08-06T21:59:09.053000
17.78,2.70,1103.38,167.43,2015-08-06T22:00:11.976000
17.66,3.72,1095.79,230.86,2015-08-06T22:01:13.883000
18.06,5.11,1120.80,317.35,2015-08-06T22:02:15.590000
18.23,3.45,1131.07,214.15,2015-08-06T22:03:17.760000
