P2 ratio,P1 ratio,0.5um,1um,time (iso)
16.02,3.51,994.49,218.11,2015-07-31T22:02:28.822000
13.84,2.59,858.80,160.59,2015-07-31T22:03:30.713000
14.24,1.78,883.68,110.47,2015-07-31T22:04:34
13.12,2.04,814.27,126.60,2015-07-31T22:05:36.691000
15.06,2.47,934.67,153.11,2015-07-31T22:06:39.129000
14.78,2.12,917.10,131.59,2015-07-31T22:07:42.463000
15.05,1.78,933.84,110.37,2015-07-31T22:08:44.478000
15.20,2.35,943.12,145.67,2015-07-31T22:09:46.969000
13.16,2.59,816.62,160.66,2015-07-31T22:10:49.960000
15.49,2.93,961.48,181.63,2015-07-31T22:11:52.483000
17.33,1.91,1075.52,118.71,2015-07-31T22:12:55.693000
14.64,2.84,908.37,176.13,2015-07-31T22:13:58.340000
16.43,1.74,1019.86,107.96,2015-07-31T22:15:00.419000
13.19,3.04,818.52,188.75,2015-07-31T22:16:02.492000
14.29,1.74,887.13,107.71,2015-07-31T22:17:06.212000
13.58,2.25,842.79,139.38,2015-07-31T22:18:09.212000
14.23,2.01,883.02,124.86,2015-07-31T22:19:11.411000
16.45,3.42,1020.98,212.54,2015-07-31T22:20:13.765000
16.40,3.79,1018.08,235.03,2015-07-31T22:21:16.935000
15.40,3.14,955.82,194.96,2015-07-31T22:22:18.933000
17.89,1.33,1110.02,82.61,2015-07-31T22:23:21.539000
18.31,3.52,1136.30,218.45,2015-07-31T22:24:23.340000
15.72,3.59,975.90,222.59,2015-07-31T22:25:25.066000
19.07,4.48,1183.69,277.81,2015-07-31T22:26:27.445000
17.69,3.88,1098.05,240.62,2015-07-31T22:27:29.347000
18.15,3.72,1126.39,230.79,2015-07-31T22:28:31.819000
14.19,2.60,880.70,161.36,2015-07-31T22:29:34.958000
16.79,5.04,1042.12,313.09,2015-07-31T22:30:37.877000
15.85,4.96,983.90,307.78,2015-07-31T22:31:40.913000
16.97,2.04,1053.08,126.64,2015-07-31T22:32:43.307000
15.39,2.27,955.00,140.80,2015-07-31T22:33:46.382000
15.06,2.25,934.89,139.46,2015-07-31T22:34:48.438000
14.21,2.45,881.95,152.29,2015-07-31T22:35:50.383000
12.67,2.92,786.28,181.22,2015-07-31T22:36:52.423000
14.46,1.76,897.46,109.15,2015-07-31T22:37:54.926000
13.73,2.74,851.89,169.94,2015-07-31T22:38:56.951000
14.79,1.54,918.11,95.48,2015-07-31T22:39:59.115000
13.67,2.12,848.45,131.57,2015-07-31T22:41:00.962000
13.42,2.09,832.83,129.52,2015-07-31T22:42:03.396000
12.33,1.62,765.14,100.52,2015-07-31T22:43:06.391000
13.81,1.83,857.35,113.69,2015-07-31T22:44:08.750000
15.80,2.09,980.33,129.94,2015-07-31T22:45:10.814000
11.55,1.68,716.99,104.26,2015-07-31T22:46:12.699000
13.59,2.61,843.54,162.16,2015-07-31T22:47:14.517000
12.21,2.22,757.86,137.72,2015-07-31T22:48:17.447000
13.14,1.41,815.54,87.26,2015-07-31T22:49:20.573000
13.31,1.86,826.28,115.34,2015-07-31T22:50:23.204000
11.72,1.27,727.55,78.70,2015-07-31T22:51:25.573000
12.97,2.43,804.69,151.00,2015-07-31T22:52:27.661000
11.37,1.74,705.77,107.84,2015-07-31T22:53:30.159000
12.64,2.99,784.29,185.53,2015-07-31T22:54:33.197000
13.62,2.06,845.07,127.54,2015-07-31T22:55:36.205000
11.66,1.94,723.47,120.45,2015-07-31T22:56:38.673000
13.21,2.95,819.54,182.97,2015-07-31T22:57:41.674000
12.42,2.60,770.62,161.11,2015-07-31T22:58:44.848000
14.08,1.61,873.86,100.03,2015-07-31T22:59:46.816000
13.95,1.90,865.99,118.01,2015-07-31T23:00:49.115000
11.96,1.71,742.17,106.07,2015-07-31T23:01:51.220000
12.47,1.86,774.03,115.70,2015-07-31T23:02:53.632000
9.82,1.44,609.36,89.56,2015-07-31T23:03:56.101000
12.90,1.86,800.38,115.31,2015-07-31T23:04:58.170000
13.40,1.43,831.60,88.74,2015-07-31T23:06:00.792000
14.36,2.84,891.22,176.06,2015-07-31T23:07:04.075000
12.06,2.35,748.61,146.14,2015-07-31T23:08:06.865000
13.31,1.71,825.95,106.23,2015-07-31T23:09:09.747000
18.01,2.39,1117.82,148.05,2015-07-31T23:10:11.868000
18.37,3.72,1139.92,230.60,2015-07-31T23:11:14.103000
17.62,3.54,1093.59,219.85,2015-07-31T23:12:16.179000
17.27,2.29,1071.69,142.18,2015-07-31T23:13:19.167000
14.75,5.18,915.30,321.36,2015-07-31T23:14:22.103000
14.35,1.49,890.81,92.31,2015-07-31T23:15:25.312000
13.27,2.53,823.52,157.17,2015-07-31T23:16:28.891000
15.49,1.44,961.52,89.27,2015-07-31T23:17:32.031000
16.69,2.72,1035.55,168.53,2015-07-31T23:18:34.130000
14.53,3.47,901.49,215.52,2015-07-31T23:19:36.757000
10.23,3.28,634.71,203.46,2015-07-31T23:20:40.088000
13.63,1.75,845.93,108.44,2015-07-31T23:21:42.261000
12.57,2.89,779.84,179.15,2015-07-31T23:22:45.152000
13.79,1.45,855.97,89.89,2015-07-31T23:23:47.976000
14.35,1.99,890.38,123.48,2015-07-31T23:24:50.011000
12.53,3.15,777.49,195.30,2015-07-31T23:25:52.548000
13.42,2.11,832.73,130.86,2015-07-31T23:26:55.141000
12.24,2.34,759.57,144.93,2015-07-31T23:27:57.411000
12.22,3.05,758.66,189.33,2015-07-31T23:29:00.051000
11.89,1.04,737.94,64.36,2015-07-31T23:30:01.935000
14.72,1.20,913.37,74.42,2015-07-31T23:31:04.760000
14.20,2.52,881.57,156.13,2015-07-31T23:32:06.888000
13.61,1.73,844.79,107.28,2015-07-31T23:33:09.908000
13.97,2.71,867.15,168.21,2015-07-31T23:34:12.846000
14.12,1.81,876.14,112.44,2015-07-31T23:35:14.852000
12.77,2.85,792.67,176.58,2015-07-31T23:36:16.661000
11.07,1.40,686.79,86.72,2015-07-31T23:37:20.264000
12.90,1.63,800.31,100.91,2015-07-31T23:38:23.253000
12.20,3.13,757.35,194.17,2015-07-31T23:39:25.549000
13.71,2.73,850.96,169.67,2015-07-31T23:40:28.157000
13.48,1.28,836.74,79.56,2015-07-31T23:41:30.150000
13.52,2.39,838.85,148.03,2015-07-31T23:42:32.967000
15.70,2.76,974.50,171.19,2015-07-31T23:43:35.423000
15.85,2.55,983.85,158.11,2015-07-31T23:44:37.620000
13.34,1.15,827.77,71.07,2015-07-31T23:45:41.474000
13.65,2.01,846.96,124.53,2015-07-31T23:46:43.287000
13.57,2.80,841.96,173.46,2015-07-31T23:47:45.157000
12.74,1.77,790.35,109.89,2015-07-31T23:48:47.606000
14.56,1.71,903.56,106.18,2015-07-31T23:49:50.127000
11.82,2.68,733.80,166.12,2015-07-31T23:50:52.378000
10.48,2.28,650.55,141.42,2015-07-31T23:51:54.405000
13.10,2.02,812.99,125.20,2015-07-31T23:52:56.509000
12.27,2.35,761.45,145.71,2015-07-31T23:53:58.940000
13.84,2.33,858.70,144.86,2015-07-31T23:55:00.930000
13.55,1.89,841.04,117.54,2015-07-31T23:56:02.940000
12.65,0.92,784.93,57.22,2015-07-31T23:57:06.375000
13.79,1.69,855.67,104.78,2015-07-31T23:58:08.315000
15.25,3.36,946.24,208.29,2015-07-31T23:59:10.390000
13.93,2.56,864.31,158.60,2015-08-01T00:00:12.183000
18.19,3.67,1128.93,227.50,2015-08-01T00:01:14.352000
17.45,4.43,1083.26,274.77,2015-08-01T00:02:16.809000
16.66,3.67,1033.69,227.47,2015-08-01T00:03:19.461000
14.50,3.40,900.09,211.27,2015-08-01T00:04:21.496000
15.60,1.69,968.18,104.75,2015-08-01T00:05:24.345000
14.43,2.55,895.33,157.98,2015-08-01T00:06:27.112000
17.00,2.29,1055.18,142.39,2015-08-01T00:07:30.335000
16.72,2.78,1037.80,172.74,2015-08-01T00:08:33.734000
14.94,1.98,927.31,122.95,2015-08-01T00:09:36.111000
14.70,1.15,912.55,71.29,2015-08-01T00:10:39.403000
16.37,3.21,1015.84,199.26,2015-08-01T00:11:41.976000
