1um,1um arduino,5um,arduino P1 ratio,time (iso)
9313.0,,974.0,,2015-08-17T11:56:44.547000
5033.0,,428.0,,2015-08-17T11:57:43.252000
3453.0,,297.0,,2015-08-17T11:58:41.966000
3058.0,,313.0,,2015-08-17T11:59:40.675000
2873.0,,235.0,,2015-08-17T12:00:39.407000
3312.0,,288.0,,2015-08-17T12:01:38.126000
4999.0,,268.0,,2015-08-17T12:02:36.870000
4516.0,,272.0,,2015-08-17T12:03:35.611000
3862.0,,233.0,,2015-08-17T12:04:34.356000
3980.0,,262.0,,2015-08-17T12:05:33.098000
3236.0,,274.0,,2015-08-17T12:06:31.846000
3346.0,,246.0,,2015-08-17T12:07:30.600000
3332.0,,377.0,,2015-08-17T12:08:29.354000
4589.0,,536.0,,2015-08-17T12:09:28.098000
4418.0,,444.0,,2015-08-17T12:10:26.855000
4039.0,,453.0,,2015-08-17T12:11:25.611000
5130.0,,683.0,,2015-08-17T12:12:24.368000
4002.0,,405.0,,2015-08-17T12:13:23.124000
3377.0,,286.0,,2015-08-17T12:14:21.885000
2502.0,,171.0,,2015-08-17T12:15:20.647000
2691.0,,170.0,,2015-08-17T12:16:19.409000
2108.0,,124.0,,2015-08-17T12:17:18.179000
1693.0,,109.0,,2015-08-17T12:18:16.945000
1479.0,,104.0,,2015-08-17T12:19:15.707000
1423.0,,85.0,,2015-08-17T12:20:14.463000
1098.0,,67.0,,2015-08-17T12:21:13.234000
1217.0,,87.0,,2015-08-17T12:22:12.006000
983.0,,62.0,,2015-08-17T12:23:10.770000
790.0,,45.0,,2015-08-17T12:24:09.534000
1100.0,,165.0,,2015-08-17T12:25:08.302000
1072.0,,160.0,,2015-08-17T12:26:07.059000
992.0,,159.0,,2015-08-17T12:27:05.827000
962.0,,168.0,,2015-08-17T12:28:04.613000
691.0,,91.0,,2015-08-17T12:29:03.377000
755.0,,100.0,,2015-08-17T12:30:02.144000
545.0,,60.0,,2015-08-17T12:31:00.903000
847.0,,188.0,,2015-08-17T12:31:59.670000
823.0,,176.0,,2015-08-17T12:32:58.439000
595.0,,110.0,,2015-08-17T12:33:57.214000
581.0,,108.0,,2015-08-17T12:34:55.981000
721.0,,162.0,,2015-08-17T12:35:54.757000
637.0,,116.0,,2015-08-17T12:36:53.518000
440.0,,63.0,,2015-08-17T12:37:52.293000
419.0,,57.0,,2015-08-17T12:38:51.060000
387.0,,48.0,,2015-08-17T12:39:49.833000
367.0,,41.0,,2015-08-17T12:40:48.589000
312.0,,30.0,,2015-08-17T12:41:47.367000
325.0,,27.0,,2015-08-17T12:42:46.126000
289.0,,16.0,,2015-08-17T12:43:44.910000
285.0,,22.0,,2015-08-17T12:44:43.667000
276.0,,16.0,,2015-08-17T12:45:42.439000
282.0,,17.0,,2015-08-17T12:46:41.216000
270.0,,14.0,,2015-08-17T12:47:39.981000
268.0,,14.0,,2015-08-17T12:48:38.763000
257.0,,14.0,,2015-08-17T12:49:37.527000
270.0,,14.0,,2015-08-17T12:50:36.301000
244.0,,12.0,,2015-08-17T12:51:35.074000
239.0,,13.0,,2015-08-17T12:52:33.844000
241.0,,11.0,,2015-08-17T12:53:32.613000
242.0,,10.0,,2015-08-17T12:54:31.377000
232.0,,9.0,,2015-08-17T12:55:30.143000
324.0,,38.0,,2015-08-17T12:56:28.910000
414.0,,81.0,,2015-08-17T12:57:27.684000
737.0,,186.0,,2015-08-17T12:58:26.441000
614.0,,128.0,,2015-08-17T12:59:25.219000
463.0,,81.0,,2015-08-17T13:00:23.981000
369.0,,34.0,,2015-08-17T13:01:22.754000
369.0,,32.0,,2015-08-17T13:02:21.530000
334.0,,25.0,,2015-08-17T13:03:20.291000
339.0,,20.0,,2015-08-17T13:04:19.054000
341.0,,25.0,,2015-08-17T13:05:17.825000
330.0,,27.0,,2015-08-17T13:06:16.586000
328.0,,29.0,,2015-08-17T13:07:15.359000
395.0,,50.0,,2015-08-17T13:08:14.127000
375.0,,45.0,,2015-08-17T13:09:12.899000
369.0,,42.0,,2015-08-17T13:10:11.654000
403.0,,50.0,,2015-08-17T13:11:10.431000
375.0,,37.0,,2015-08-17T13:12:09.201000
370.0,,40.0,,2015-08-17T13:13:07.965000
359.0,,35.0,,2015-08-17T13:14:06.733000
338.0,,31.0,,2015-08-17T13:15:05.501000
348.0,,32.0,,2015-08-17T13:16:04.270000
343.0,,30.0,,2015-08-17T13:17:03.041000
318.0,,26.0,,2015-08-17T13:18:01.801000
291.0,,21.0,,2015-08-17T13:19:00.573000
298.0,,21.0,,2015-08-17T13:19:59.347000
297.0,,22.0,,2015-08-17T13:20:58.113000
302.0,,18.0,,2015-08-17T13:21:56.874000
