1um,5um,time (iso),1um arduino,arduino P1 ratio
748,119,2015-08-18T10:17:39.888000,5160.92,8.32
558,65,2015-08-18T10:18:38.593000,1957.22610842,4.31575025732
1100,108,2015-08-18T10:19:37.306000,833.690397485,2.78053211475
1310,101,2015-08-18T10:20:36.018000,988.461890289,3.34998377028
2213,111,2015-08-18T10:21:34.735000,2926.86742934,5.52883588423
3267,160,2015-08-18T10:22:33.454000,3838.50604543,6.18677150777
3820,191,2015-08-18T10:23:32.173000,4762.11017404,7.67350477211
5312,216,2015-08-18T10:24:30.894000,6319.02565021,10.180631928
5796,264,2015-08-18T10:25:29.616000,7085.20594756,11.4186146987
3558,175,2015-08-18T10:26:28.339000,8060.72028008,12.9900957752
2260,106,2015-08-18T10:27:27.065000,6751.23671209,10.8798876442
2410,122,2015-08-18T10:28:25.792000,3464.69613405,5.57829964474
2521,180,2015-08-18T10:29:24.520000,3912.44087096,6.30255323939
2721,221,2015-08-18T10:30:23.249000,3901.06502774,6.28978334228
2526,200,2015-08-18T10:31:21.976000,3649.14785066,5.88126611961
3001,362,2015-08-18T10:32:20.706000,3116.13774543,5.02504765898
3775,562,2015-08-18T10:33:19.436000,4361.65955563,7.0307310847
4664,762,2015-08-18T10:34:18.167000,7663.55041341,12.3496043245
2447,324,2015-08-18T10:35:16.896000,7718.09020725,12.4358306195
1235,150,2015-08-18T10:36:15.628000,4259.7152068,6.8622979043
1053,112,2015-08-18T10:37:14.361000,1688.41561232,3.99903912936
696,85,2015-08-18T10:38:13.094000,983.630143321,3.2585192239
604,86,2015-08-18T10:39:11.828000,705.7981279,2.45634028192
453,41,2015-08-18T10:40:10.563000,832.219234761,2.89338240391
400,40,2015-08-18T10:41:09.297000,670.218689673,2.44211889209
391,36,2015-08-18T10:42:08.030000,288.285305086,1.31492076198
523,81,2015-08-18T10:43:06.765000,434.568672086,1.7279608806
1050,236,2015-08-18T10:44:05.508000,1303.21156174,2.89675067292
1105,211,2015-08-18T10:45:04.245000,2660.53583499,4.62431745428
1917,159,2015-08-18T10:46:02.983000,893.404689488,2.95510956475
2790,160,2015-08-18T10:47:01.718000,1302.54131737,3.52895854798
3081,181,2015-08-18T10:48:00.456000,4027.79997605,6.49288618819
4918,294,2015-08-18T10:48:59.195000,7090.56243049,11.4215335898
6240,393,2015-08-18T10:49:57.935000,8042.42046348,12.9543010157
6350,407,2015-08-18T10:50:56.674000,9826.59816073,15.8322048821
7355,513,2015-08-18T10:51:55.413000,12895.212192,20.7774551145
5512,337,2015-08-18T10:52:54.154000,9860.00643125,15.886069199
4120,250,2015-08-18T10:53:52.893000,8901.5977737,14.3393913893
4371,230,2015-08-18T10:54:51.633000,7360.51804712,11.8599996864
4571,309,2015-08-18T10:55:50.373000,6934.37198642,11.1759919344
5963,407,2015-08-18T10:56:49.111000,8763.79929771,14.1224942966
5439,365,2015-08-18T10:57:47.848000,8633.80102714,13.911326999
4463,296,2015-08-18T10:58:46.590000,7632.78389596,12.2990014521
4875,312,2015-08-18T10:59:45.332000,7411.69283143,11.9449213056
3996,238,2015-08-18T11:00:44.072000,6231.64929684,10.0433860786
2107,110,2015-08-18T11:01:42.812000,4246.87346099,6.84448156516
1477,74,2015-08-18T11:02:41.552000,2680.35274939,4.32161861975
1121,45,2015-08-18T11:03:40.292000,2521.10983732,4.44886084251
1182,45,2015-08-18T11:04:39.033000,948.94379864,3.22194002844
862,40,2015-08-18T11:05:37.772000,407.87611948,1.65407730628
725,30,2015-08-18T11:06:36.513000,890.06735932,2.94587604921
