P2 ratio,P1 ratio,0.5um,1um,time (iso)
14.71,6.00,9131.36,3722.26,2015-08-16T11:24:45.796000
15.47,4.34,9600.31,2692.81,2015-08-16T11:25:47.623000
14.15,2.33,8782.17,668.97,2015-08-16T11:26:50.599000
14.19,5.77,8808.13,3579.18,2015-08-16T11:27:52.743000
12.19,2.21,7566.24,620.04,2015-08-16T11:28:56.204000
10.58,2.01,6568.30,544.79,2015-08-16T11:29:58.893000
10.99,1.82,6821.47,471.21,2015-08-16T11:31:01.943000
16.59,1.17,10297.81,238.09,2015-08-16T11:32:04.268000
14.31,5.37,8882.17,3331.40,2015-08-16T11:33:06.025000
10.24,1.76,6353.07,446.67,2015-08-16T11:34:07.777000
10.23,2.45,6345.74,714.37,2015-08-16T11:35:10.949000
10.88,1.27,6749.71,269.52,2015-08-16T11:36:13.782000
9.29,0.12,5766.94,8.05,2015-08-16T11:37:16.841000
16.32,0.81,10130.00,131.40,2015-08-16T11:38:19.989000
13.01,2.34,8072.62,672.15,2015-08-16T11:39:21.950000
10.82,0.73,6716.67,111.97,2015-08-16T11:40:24.647000
18.57,2.01,11523.01,542.81,2015-08-16T11:41:26.628000
15.49,3.61,9613.73,1072.90,2015-08-16T11:42:28.880000
16.92,3.83,10500.57,1111.55,2015-08-16T11:43:31.034000
14.14,1.63,8773.46,399.46,2015-08-16T11:44:33.174000
14.51,2.32,9006.71,662.90,2015-08-16T11:45:35.573000
12.81,3.15,7947.22,954.91,2015-08-16T11:46:37.689000
10.86,2.50,6741.77,733.17,2015-08-16T11:47:39.798000
10.94,1.84,6790.75,478.76,2015-08-16T11:48:42.602000
9.86,2.51,6117.97,737.12,2015-08-16T11:49:45.582000
12.98,2.69,8053.34,803.22,2015-08-16T11:50:48.989000
10.12,1.58,6280.32,379.34,2015-08-16T11:51:51.487000
13.47,2.22,8361.57,625.51,2015-08-16T11:52:53.467000
11.26,3.39,6985.31,1022.25,2015-08-16T11:53:56.542000
11.54,1.58,7162.09,380.23,2015-08-16T11:54:58.905000
10.54,1.29,6538.28,275.28,2015-08-16T11:56:02.225000
14.06,0.56,8722.87,72.06,2015-08-16T11:57:04.443000
12.02,3.26,7461.25,987.28,2015-08-16T11:58:06.347000
9.37,1.02,5812.58,189.98,2015-08-16T11:59:08.205000
10.02,0.56,6216.30,73.56,2015-08-16T12:00:10.141000
7.48,0.33,4643.83,31.88,2015-08-16T12:01:12.990000
9.39,1.20,5824.74,247.80,2015-08-16T12:02:16.418000
9.17,1.91,5691.78,504.02,2015-08-16T12:03:18.825000
10.04,1.15,6233.45,229.02,2015-08-16T12:04:21.449000
9.54,0.84,5923.21,139.88,2015-08-16T12:05:24.192000
8.37,1.25,5197.57,264.20,2015-08-16T12:06:26.112000
13.71,1.59,8508.79,383.13,2015-08-16T12:07:29.354000
9.18,1.76,5697.02,445.76,2015-08-16T12:08:32.958000
10.22,1.14,6345.14,225.74,2015-08-16T12:09:35.782000
9.39,2.77,5825.27,830.88,2015-08-16T12:10:38.812000
