1um,5um,time (iso)
8488,960,2015-08-23T14:48:39.929000
7270,708,2015-08-23T14:49:38.718000
8959,905,2015-08-23T14:50:37.507000
6713,589,2015-08-23T14:51:36.294000
4852,380,2015-08-23T14:52:35.080000
5212,385,2015-08-23T14:53:33.868000
5778,434,2015-08-23T14:54:32.658000
5561,422,2015-08-23T14:55:31.448000
5591,657,2015-08-23T14:56:30.237000
5710,707,2015-08-23T14:57:29.026000
5528,649,2015-08-23T14:58:27.813000
5096,554,2015-08-23T14:59:26.604000
4608,481,2015-08-23T15:00:25.391000
3984,407,2015-08-23T15:01:24.180000
4500,424,2015-08-23T15:02:22.968000
5303,449,2015-08-23T15:03:21.757000
5739,398,2015-08-23T15:04:20.543000
3625,271,2015-08-23T15:05:19.331000
3718,293,2015-08-23T15:06:18.119000
4781,420,2015-08-23T15:07:16.909000
4534,437,2015-08-23T15:08:15.696000
3896,388,2015-08-23T15:09:14.485000
3490,299,2015-08-23T15:10:13.272000
5557,317,2015-08-23T15:11:12.060000
5036,282,2015-08-23T15:12:10.847000
3783,254,2015-08-23T15:13:09.636000
2681,238,2015-08-23T15:14:08.424000
1389,166,2015-08-23T15:15:07.211000
2018,147,2015-08-23T15:16:05.997000
5487,198,2015-08-23T15:17:04.782000
6133,228,2015-08-23T15:18:03.570000
3966,153,2015-08-23T15:19:02.358000
1717,85,2015-08-23T15:20:01.145000
842,51,2015-08-23T15:20:59.932000
1480,66,2015-08-23T15:21:58.721000
5741,101,2015-08-23T15:22:57.511000
9775,147,2015-08-23T15:23:56.300000
4578,129,2015-08-23T15:24:55.089000
3334,138,2015-08-23T15:25:53.876000
5576,159,2015-08-23T15:26:52.666000
3510,150,2015-08-23T15:27:51.454000
5085,206,2015-08-23T15:28:50.243000
15838,558,2015-08-23T15:29:49.029000
13165,560,2015-08-23T15:30:47.814000
16786,757,2015-08-23T15:31:46.602000
15880,693,2015-08-23T15:32:45.390000
9399,361,2015-08-23T15:33:44.175000
5484,261,2015-08-23T15:34:42.965000
3246,237,2015-08-23T15:35:41.754000
2233,264,2015-08-23T15:36:40.543000
1469,247,2015-08-23T15:37:39.330000
1240,219,2015-08-23T15:38:38.116000
1381,197,2015-08-23T15:39:36.902000
3054,233,2015-08-23T15:40:35.689000
3680,224,2015-08-23T15:41:34.476000
3904,278,2015-08-23T15:42:33.264000
3058,223,2015-08-23T15:43:32.049000
1895,217,2015-08-23T15:44:30.835000
1403,166,2015-08-23T15:45:29.621000
914,123,2015-08-23T15:46:28.407000
2779,138,2015-08-23T15:47:27.195000
18021,830,2015-08-23T15:48:25.981000
18578,1048,2015-08-23T15:49:24.769000
16070,830,2015-08-23T15:50:23.554000
